City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
237,Pauini,BR,2022-09-17 01:17:59,-7.7136,-66.9764,78.84,51,42,0.67
238,Inyonga,TZ,2022-09-17 01:17:59,-6.7167,32.0667,65.46,54,1,5.12
239,Kaabong,UG,2022-09-17 01:18:00,3.4836,34.1492,63.84,65,8,7.9
240,Barcelos,PT,2022-09-17 01:18:00,41.5388,-8.6151,67.91,89,93,2.48
241,Nurota,UZ,2022-09-17 01:18:00,40.5614,65.6886,66.79,18,100,4.88
242,Alyangula,AU,2022-09-17 01:18:01,-13.8483,136.4192,81.82,69,9,5.95
243,Angol,CL,2022-09-17 01:13:13,-37.8,-72.7167,42.93,98,100,4.59
244,Fairbanks,US,2022-09-17 01:18:01,64.8378,-147.7164,60.76,57,75,4.61
245,Ewa Beach,US,2022-09-17 01:18:01,21.3156,-158.0072,84.15,68,20,11.5
246,Taitung,TW,2022-09-17 01:18:02,22.7583,121.1444,84.47,70,75,1.14
247,Walvis Bay,NA,2022-09-17 01:18:02,-22.9575,14.5053,56.35,94,21,12.66
248,Shelburne,CA,2022-09-17 01:18:03,44.0787,-80.2041,59.23,88,100,6.24
249,Harper,LR,2022-09-17 01:18:03,4.375,-7.7169,76.59,84,94,11.34
250,Hithadhoo,MV,2022-09-17 01:18:03,-0.6,73.0833,81.16,74,100,6.22
251,Les Cayes,HT,2022-09-17 01:18:04,18.2,-73.75,80.26,77,6,0.65
252,Kingaroy,AU,2022-09-17 01:18:04,-26.5333,151.8333,76.8,43,18,11.07
253,Zhelyabovka,UA,2022-09-17 01:18:05,45.3988,34.7578,68.94,73,100,4.88
254,Schertz,US,2022-09-17 01:15:24,29.5522,-98.2697,89.37,58,20,12.66
255,Klaksvik,FO,2022-09-17 01:18:05,62.2266,-6.589,49.12,84,99,11.88
256,Belaya Gora,RU,2022-09-17 01:18:05,68.5333,146.4167,39.52,59,9,2.06
257,Tahta,EG,2022-09-17 01:18:06,26.7693,31.5021,76.3,34,0,5.32
258,Victoria,HK,2022-09-17 01:18:06,22.2855,114.1577,90.97,76,4,4.0
259,Odienne,CI,2022-09-17 01:18:07,9.51,-7.5692,72.57,92,100,0.72
260,Rio Casca,BR,2022-09-17 01:18:07,-20.2261,-42.6508,66.18,86,100,2.82
